Idade,Gênero,IMC,Filhos,Fumante,Região,Fumante_Numero,Encargos,Categoria_IMC,outlier_mask_Idade,outlier_mask_IMC,outlier_mask_Filhos,outlier_mask_Fumante_Numero,outlier_mask_Encargos
,masculino,24.01,1.0,não,noroeste,0.0,1715.2,Peso normal,0,0,0,0,0
55.0,feminino,31.76,,,sudoeste,,4536.83,Obeso,0,0,0,0,0
46.0,,31.37,0.0,sim,sudeste,1.0,4637.69,Obeso,0,0,0,0,0
51.0,,29.53,3.0,não,nordeste,0.0,6014.76,Sobrepeso,0,0,0,0,0
75.0,masculino,28.8,1.0,não,nordeste,0.0,6102.47,Sobrepeso,0,0,0,0,0
39.0,feminino,20.27,3.0,,,,4889.88,Peso normal,0,0,0,0,0
70.0,masculino,33.17,1.0,não,sudoeste,0.0,6310.64,Obeso,0,0,0,0,0
31.0,masculino,19.14,1.0,não,sudoeste,0.0,3560.25,Peso normal,0,0,0,0,0
71.0,feminino,34.28,1.0,sim,noroeste,1.0,6336.73,Obeso,0,0,0,0,0
18.0,feminino,22.07,3.0,não,noroeste,0.0,3456.38,Peso normal,0,0,0,0,0
67.0,feminino,26.65,1.0,não,sudoeste,0.0,5915.79,Sobrepeso,0,0,0,0,0
54.0,masculino,23.25,1.0,,nordeste,,4892.6,Peso normal,0,0,0,0,0
25.0,feminino,34.37,2.0,não,sudoeste,0.0,4135.1,Obeso,0,0,0,0,0
18.0,masculino,19.93,2.0,sim,,1.0,3307.08,Peso normal,0,0,0,0,0
39.0,feminino,23.11,2.0,não,,0.0,4804.02,Peso normal,0,0,0,0,0
46.0,feminino,32.87,0.0,,sudoeste,,4692.72,Obeso,0,0,0,0,0
61.0,masculino,20.18,1.0,sim,sudeste,1.0,6131.42,Peso normal,0,0,0,0,0
30.0,masculino,22.97,1.0,sim,noroeste,1.0,4280.56,Peso normal,0,0,0,0,0
,masculino,34.62,3.0,não,noroeste,0.0,3109.29,Obeso,0,0,0,0,0
29.0,feminino,18.7,0.0,não,,0.0,2528.76,Peso normal,0,0,0,0,0
68.0,feminino,30.18,1.0,sim,sudeste,1.0,6013.94,Obeso,0,0,0,0,0
47.0,feminino,33.77,2.0,,sudeste,,4785.4,Obeso,0,0,0,0,0
32.0,masculino,34.56,0.0,sim,nordeste,1.0,4007.25,Obeso,0,0,0,0,0
30.0,masculino,27.16,,não,nordeste,0.0,3255.61,Sobrepeso,0,0,0,0,0
63.0,feminino,29.52,1.0,não,sudeste,0.0,5410.71,Sobrepeso,0,0,0,0,0
37.0,feminino,29.78,1.0,sim,nordeste,1.0,4326.96,Sobrepeso,0,0,0,0,0
61.0,masculino,28.16,2.0,não,noroeste,0.0,5809.89,Sobrepeso,0,0,0,0,0
61.0,masculino,25.67,,não,noroeste,0.0,4878.66,Sobrepeso,0,0,0,0,0
49.0,feminino,19.02,0.0,sim,,1.0,4388.07,Peso normal,0,0,0,0,0
38.0,,34.34,,sim,sudoeste,1.0,4194.63,Obeso,0,0,0,0,0
63.0,feminino,,1.0,não,noroeste,0.0,5342.37,Valor Inválido,0,0,0,0,0
59.0,feminino,19.42,,sim,nordeste,1.0,5504.9,Peso normal,0,0,0,0,0
30.0,masculino,28.89,,não,sudoeste,0.0,3407.65,Sobrepeso,0,0,0,0,0
49.0,feminino,32.39,3.0,não,nordeste,0.0,5273.39,Obeso,0,0,0,0,0
27.0,masculino,28.87,0.0,sim,sudeste,1.0,3487.54,Sobrepeso,0,0,0,0,0
72.0,feminino,,3.0,sim,,1.0,7568.54,Valor Inválido,0,0,0,0,0
60.0,masculino,33.33,1.0,não,sudeste,0.0,5899.3,Obeso,0,0,0,0,0
36.0,masculino,,2.0,sim,sudoeste,1.0,5237.5,Valor Inválido,0,0,0,0,0
29.0,feminino,31.08,2.0,sim,,1.0,4526.07,Obeso,0,0,0,0,0
57.0,masculino,20.56,3.0,sim,noroeste,1.0,5889.89,Peso normal,0,0,0,0,0
22.0,feminino,,1.0,sim,noroeste,1.0,3366.82,Valor Inválido,0,0,0,0,0
42.0,masculino,18.63,3.0,não,sudeste,0.0,5011.4,Peso normal,0,0,0,0,0
76.0,masculino,24.5,3.0,sim,sudeste,1.0,7810.29,Peso normal,0,0,0,0,0
61.0,feminino,24.31,2.0,não,sudoeste,0.0,6114.89,Peso normal,0,0,0,0,0
53.0,masculino,19.38,0.0,sim,,1.0,4971.79,Peso normal,0,0,0,0,0
,masculino,30.54,0.0,,sudeste,,1163.17,Obeso,0,0,0,0,0
38.0,feminino,21.02,1.0,,sudoeste,,4144.86,Peso normal,0,0,0,0,0
42.0,feminino,33.78,0.0,sim,noroeste,1.0,4230.48,Obeso,0,0,0,0,0
67.0,feminino,21.13,2.0,sim,sudeste,1.0,6358.47,Peso normal,0,0,0,0,0
58.0,masculino,18.31,3.0,sim,sudeste,1.0,6312.44,Abaixo do peso,0,0,0,0,0
75.0,masculino,28.9,0.0,sim,sudeste,1.0,6461.83,Sobrepeso,0,0,0,0,0
40.0,feminino,24.4,2.0,,sudoeste,,4843.19,Peso normal,0,0,0,0,0
19.0,masculino,31.73,1.0,sim,sudoeste,1.0,3282.82,Obeso,0,0,0,0,0
26.0,feminino,22.09,0.0,não,sudeste,0.0,2419.21,Peso normal,0,0,0,0,0
39.0,masculino,27.97,2.0,sim,sudoeste,1.0,4699.63,Sobrepeso,0,0,0,0,0
48.0,feminino,22.16,3.0,sim,,1.0,5402.67,Peso normal,0,0,0,0,0
39.0,masculino,18.74,,não,,0.0,3888.9,Peso normal,0,0,0,0,0
76.0,feminino,24.75,3.0,,sudeste,,6909.28,Peso normal,0,0,0,0,0
63.0,masculino,31.33,0.0,sim,noroeste,1.0,5531.11,Obeso,0,0,0,0,0
64.0,masculino,31.08,0.0,não,noroeste,0.0,5430.03,Obeso,0,0,0,0,0
,masculino,29.01,3.0,sim,sudeste,1.0,3226.27,Sobrepeso,0,0,0,0,0
20.0,feminino,,2.0,sim,sudeste,1.0,3753.28,Valor Inválido,0,0,0,0,0
71.0,feminino,31.57,0.0,não,sudeste,0.0,5702.4,Obeso,0,0,0,0,0
64.0,masculino,27.92,0.0,,sudeste,,5539.37,Sobrepeso,0,0,0,0,0
78.0,masculino,33.21,2.0,sim,nordeste,1.0,7520.23,Obeso,0,0,0,0,0
78.0,masculino,28.47,2.0,sim,,1.0,7423.06,Sobrepeso,0,0,0,0,0
54.0,masculino,29.99,2.0,não,,0.0,5832.75,Obeso,0,0,0,0,0
28.0,masculino,,3.0,sim,,1.0,4325.31,Valor Inválido,0,0,0,0,0
74.0,masculino,19.39,1.0,sim,noroeste,1.0,6459.84,Peso normal,0,0,0,0,0
62.0,masculino,25.73,0.0,sim,noroeste,1.0,5686.14,Sobrepeso,0,0,0,0,0
22.0,masculino,26.82,2.0,não,sudoeste,0.0,3599.77,Sobrepeso,0,0,0,0,0
75.0,feminino,18.16,3.0,,noroeste,,6894.54,Abaixo do peso,0,0,0,0,0
52.0,feminino,19.44,2.0,não,sudeste,0.0,5026.9,Peso normal,0,0,0,0,0
71.0,masculino,,0.0,sim,sudoeste,1.0,6555.46,Valor Inválido,0,0,0,0,0
48.0,masculino,33.13,,sim,noroeste,1.0,4576.27,Obeso,0,0,0,0,0
41.0,feminino,30.83,1.0,sim,sudoeste,1.0,4686.83,Obeso,0,0,0,0,0
46.0,masculino,30.28,2.0,sim,sudoeste,1.0,5354.36,Obeso,0,0,0,0,0
57.0,masculino,32.7,3.0,sim,sudoeste,1.0,6824.49,Obeso,0,0,0,0,0
66.0,feminino,22.85,3.0,sim,nordeste,1.0,7319.82,Peso normal,0,0,0,0,0
79.0,masculino,34.84,3.0,sim,nordeste,1.0,7758.25,Obeso,0,0,0,0,0
36.0,masculino,19.87,1.0,não,nordeste,0.0,4149.51,Peso normal,0,0,0,0,0
43.0,masculino,21.68,1.0,não,noroeste,0.0,4554.98,Peso normal,0,0,0,0,0
,feminino,,2.0,não,nordeste,0.0,2112.57,Valor Inválido,0,0,0,0,0
44.0,feminino,24.21,2.0,,,,4832.14,Peso normal,0,0,0,0,0
24.0,feminino,21.35,3.0,sim,sudoeste,1.0,4775.92,Peso normal,0,0,0,0,0
21.0,feminino,24.36,0.0,não,nordeste,0.0,2833.85,Peso normal,0,0,0,0,0
,feminino,28.78,1.0,não,sudeste,0.0,1976.15,Sobrepeso,0,0,0,0,0
,feminino,28.8,2.0,não,sudeste,0.0,2658.09,Sobrepeso,0,0,0,0,0
39.0,feminino,26.24,2.0,não,nordeste,0.0,4555.41,Sobrepeso,0,0,0,0,0
76.0,masculino,,0.0,não,sudoeste,0.0,5726.4,Valor Inválido,0,0,0,0,0
57.0,,23.39,1.0,sim,sudoeste,1.0,5479.38,Peso normal,0,0,0,0,0
52.0,feminino,22.47,0.0,sim,nordeste,1.0,4581.22,Peso normal,0,0,0,0,0
54.0,feminino,,0.0,sim,sudoeste,1.0,5095.82,Valor Inválido,0,0,0,0,0
30.0,feminino,33.57,1.0,sim,sudoeste,1.0,4024.58,Obeso,0,0,0,0,0
37.0,feminino,18.47,2.0,não,sudoeste,0.0,4477.32,Abaixo do peso,0,0,0,0,0
41.0,masculino,25.3,3.0,,nordeste,,5122.56,Sobrepeso,0,0,0,0,0
48.0,feminino,21.84,1.0,sim,sudoeste,1.0,5031.86,Peso normal,0,0,0,0,0
23.0,masculino,20.05,0.0,sim,noroeste,1.0,3059.61,Peso normal,0,0,0,0,0
26.0,feminino,,2.0,sim,nordeste,1.0,3989.91,Valor Inválido,0,0,0,0,0
,feminino,24.05,0.0,,sudoeste,,1413.85,Peso normal,0,0,0,0,0
,masculino,18.23,1.0,não,sudoeste,0.0,1661.66,Abaixo do peso,0,0,0,0,0
43.0,feminino,,2.0,,sudoeste,,4290.12,Valor Inválido,0,0,0,0,0
32.0,masculino,25.53,3.0,sim,noroeste,1.0,5068.08,Sobrepeso,0,0,0,0,0
20.0,feminino,21.34,3.0,sim,,1.0,4287.38,Peso normal,0,0,0,0,0
,feminino,28.06,3.0,sim,nordeste,1.0,2670.27,Sobrepeso,0,0,0,0,0
60.0,,31.56,0.0,não,sudeste,0.0,5324.46,Obeso,0,0,0,0,0
49.0,feminino,22.75,2.0,sim,noroeste,1.0,5718.2,Peso normal,0,0,0,0,0
57.0,feminino,33.42,3.0,não,nordeste,0.0,6104.26,Obeso,0,0,0,0,0
73.0,masculino,20.67,0.0,não,,0.0,5686.75,Peso normal,0,0,0,0,0
20.0,feminino,33.1,2.0,sim,sudoeste,1.0,3890.18,Obeso,0,0,0,0,0
73.0,masculino,18.23,,sim,sudoeste,1.0,5808.52,Abaixo do peso,0,0,0,0,0
55.0,feminino,22.12,2.0,não,nordeste,0.0,5378.9,Peso normal,0,0,0,0,0
54.0,masculino,18.67,2.0,sim,,1.0,5953.47,Peso normal,0,0,0,0,0
37.0,feminino,27.66,2.0,não,sudoeste,0.0,4163.05,Sobrepeso,0,0,0,0,0
24.0,masculino,19.25,3.0,não,noroeste,0.0,3634.5,Peso normal,0,0,0,0,0
,feminino,28.11,0.0,não,sudoeste,0.0,1607.43,Sobrepeso,0,0,0,0,0
52.0,masculino,33.1,1.0,sim,,1.0,5302.64,Obeso,0,0,0,0,0
78.0,masculino,32.68,2.0,não,nordeste,0.0,6993.37,Obeso,0,0,0,0,0
37.0,feminino,18.81,0.0,não,nordeste,0.0,2996.15,Peso normal,0,0,0,0,0
34.0,masculino,24.28,3.0,sim,noroeste,1.0,4587.1,Peso normal,0,0,0,0,0
19.0,feminino,25.89,2.0,,nordeste,,3260.27,Sobrepeso,0,0,0,0,0
50.0,feminino,34.05,3.0,sim,noroeste,1.0,6077.47,Obeso,0,0,0,0,0
47.0,masculino,28.31,3.0,sim,nordeste,1.0,5936.72,Sobrepeso,0,0,0,0,0
,feminino,18.98,0.0,sim,sudeste,1.0,1706.57,Peso normal,0,0,0,0,0
29.0,,,3.0,não,nordeste,0.0,4589.82,Valor Inválido,0,0,0,0,0
35.0,,19.09,1.0,,nordeste,,3986.09,Peso normal,0,0,0,0,0
60.0,masculino,27.95,3.0,não,sudeste,0.0,5747.54,Sobrepeso,0,0,0,0,0
68.0,masculino,30.7,1.0,não,,0.0,5884.33,Obeso,0,0,0,0,0
58.0,masculino,23.08,1.0,,nordeste,,5092.22,Peso normal,0,0,0,0,0
62.0,masculino,23.42,2.0,sim,,1.0,6583.61,Peso normal,0,0,0,0,0
28.0,masculino,,1.0,sim,sudoeste,1.0,3626.69,Valor Inválido,0,0,0,0,0
37.0,feminino,33.75,2.0,não,noroeste,0.0,4523.73,Obeso,0,0,0,0,0
53.0,masculino,28.23,2.0,não,noroeste,0.0,5277.5,Sobrepeso,0,0,0,0,0
72.0,feminino,,1.0,não,sudoeste,0.0,6492.08,Valor Inválido,0,0,0,0,0
33.0,,28.98,1.0,não,nordeste,0.0,4195.41,Sobrepeso,0,0,0,0,0
62.0,,20.17,0.0,sim,sudeste,1.0,5343.78,Peso normal,0,0,0,0,0
77.0,feminino,28.41,0.0,sim,sudeste,1.0,6267.01,Sobrepeso,0,0,0,0,0
26.0,masculino,32.07,,não,nordeste,0.0,2806.25,Obeso,0,0,0,0,0
52.0,masculino,33.2,2.0,sim,nordeste,1.0,5682.16,Obeso,0,0,0,0,0
18.0,feminino,22.01,0.0,sim,noroeste,1.0,2737.27,Peso normal,0,0,0,0,0
61.0,feminino,18.81,2.0,,noroeste,,5769.36,Peso normal,0,0,0,0,0
19.0,masculino,24.76,,não,sudoeste,0.0,2217.54,Peso normal,0,0,0,0,0
23.0,feminino,29.78,0.0,,sudoeste,,2686.24,Sobrepeso,0,0,0,0,0
,feminino,22.91,1.0,não,noroeste,0.0,1801.57,Peso normal,0,0,0,0,0
,feminino,21.44,3.0,sim,sudoeste,1.0,2467.47,Peso normal,0,0,0,0,0
70.0,masculino,22.76,1.0,sim,noroeste,1.0,6377.13,Peso normal,0,0,0,0,0
24.0,masculino,23.16,,não,sudeste,0.0,2802.83,Peso normal,0,0,0,0,0
34.0,masculino,33.72,3.0,sim,sudeste,1.0,5141.97,Obeso,0,0,0,0,0
34.0,masculino,22.92,1.0,não,sudeste,0.0,3663.21,Peso normal,0,0,0,0,0
27.0,,30.86,2.0,sim,sudeste,1.0,4773.63,Obeso,0,0,0,0,0
48.0,,26.41,3.0,sim,noroeste,1.0,5631.81,Sobrepeso,0,0,0,0,0
26.0,feminino,27.2,,sim,noroeste,1.0,3211.47,Sobrepeso,0,0,0,0,0
28.0,,30.39,3.0,não,nordeste,0.0,4680.84,Obeso,0,0,0,0,0
45.0,masculino,22.97,3.0,não,nordeste,0.0,5213.89,Peso normal,0,0,0,0,0
,feminino,32.48,3.0,não,nordeste,0.0,3047.89,Obeso,0,0,0,0,0
79.0,masculino,23.02,3.0,não,noroeste,0.0,7322.41,Peso normal,0,0,0,0,0
36.0,feminino,24.41,2.0,não,sudeste,0.0,4377.1,Peso normal,0,0,0,0,0
43.0,feminino,,0.0,não,sudoeste,0.0,4173.85,Valor Inválido,0,0,0,0,0
72.0,,,1.0,sim,noroeste,1.0,6272.21,Valor Inválido,0,0,0,0,0
29.0,,27.2,0.0,não,sudoeste,0.0,3212.41,Sobrepeso,0,0,0,0,0
46.0,masculino,23.04,1.0,não,nordeste,0.0,4670.91,Peso normal,0,0,0,0,0
58.0,masculino,31.2,2.0,sim,sudoeste,1.0,6526.65,Obeso,0,0,0,0,0
31.0,feminino,34.64,,sim,noroeste,1.0,4048.83,Obeso,0,0,0,0,0
27.0,feminino,34.13,1.0,sim,nordeste,1.0,4038.99,Obeso,0,0,0,0,0
65.0,feminino,20.76,3.0,não,sudoeste,0.0,5920.16,Peso normal,0,0,0,0,0
22.0,masculino,30.88,2.0,não,sudeste,0.0,3600.38,Obeso,0,0,0,0,0
76.0,masculino,34.43,1.0,sim,sudeste,1.0,6662.3,Obeso,0,0,0,0,0
44.0,,24.24,0.0,sim,nordeste,1.0,4600.15,Peso normal,0,0,0,0,0
49.0,feminino,26.13,2.0,não,sudeste,0.0,5173.38,Sobrepeso,0,0,0,0,0
58.0,masculino,29.67,3.0,não,nordeste,0.0,5910.39,Sobrepeso,0,0,0,0,0
20.0,masculino,23.69,2.0,não,noroeste,0.0,3112.9,Peso normal,0,0,0,0,0
69.0,feminino,24.98,0.0,não,sudoeste,0.0,5794.43,Sobrepeso,0,0,0,0,0
,feminino,32.96,0.0,sim,noroeste,1.0,2270.9,Obeso,0,0,0,0,0
49.0,feminino,30.39,1.0,não,,0.0,4490.95,Obeso,0,0,0,0,0
77.0,masculino,26.06,1.0,sim,sudoeste,1.0,6430.8,Sobrepeso,0,0,0,0,0
40.0,feminino,25.69,0.0,não,noroeste,0.0,3995.48,Sobrepeso,0,0,0,0,0
29.0,masculino,28.67,,não,sudoeste,0.0,2944.6,Sobrepeso,0,0,0,0,0
47.0,masculino,24.06,0.0,não,sudoeste,0.0,3909.88,Peso normal,0,0,0,0,0
30.0,masculino,24.49,0.0,não,sudeste,0.0,3042.8,Peso normal,0,0,0,0,0
70.0,masculino,30.61,3.0,sim,nordeste,1.0,7290.12,Obeso,0,0,0,0,0
72.0,feminino,32.88,,não,,0.0,6172.21,Obeso,0,0,0,0,0
63.0,masculino,33.11,2.0,não,sudoeste,0.0,6137.72,Obeso,0,0,0,0,0
27.0,masculino,25.35,2.0,não,,0.0,3957.03,Sobrepeso,0,0,0,0,0
77.0,feminino,18.62,0.0,sim,noroeste,1.0,6601.14,Peso normal,0,0,0,0,0
27.0,masculino,,2.0,sim,nordeste,1.0,4609.96,Valor Inválido,0,0,0,0,0
53.0,,,0.0,sim,sudeste,1.0,5300.2,Valor Inválido,0,0,0,0,0
67.0,feminino,18.59,3.0,sim,sudoeste,1.0,6819.41,Peso normal,0,0,0,0,0
38.0,masculino,30.27,1.0,sim,nordeste,1.0,4198.51,Obeso,0,0,0,0,0
18.0,feminino,20.34,3.0,não,noroeste,0.0,3746.28,Peso normal,0,0,0,0,0
32.0,feminino,,1.0,não,sudoeste,0.0,3533.55,Valor Inválido,0,0,0,0,0
46.0,feminino,21.92,0.0,não,sudoeste,0.0,4145.84,Peso normal,0,0,0,0,0
75.0,feminino,28.87,0.0,,sudeste,,6210.15,Sobrepeso,0,0,0,0,0
53.0,masculino,34.1,3.0,sim,sudoeste,1.0,6040.01,Obeso,0,0,0,0,0
65.0,masculino,22.42,2.0,sim,sudoeste,1.0,6627.93,Peso normal,0,0,0,0,0
70.0,masculino,33.37,0.0,sim,nordeste,1.0,5818.02,Obeso,0,0,0,0,0
27.0,feminino,24.11,0.0,sim,nordeste,1.0,3271.29,Peso normal,0,0,0,0,0
46.0,masculino,32.86,,,sudeste,,4461.52,Obeso,0,0,0,0,0
64.0,masculino,,2.0,não,noroeste,0.0,6378.62,Valor Inválido,0,0,0,0,0
51.0,masculino,31.32,3.0,não,noroeste,0.0,5410.48,Obeso,0,0,0,0,0
23.0,feminino,31.22,3.0,sim,sudeste,1.0,4687.12,Obeso,0,0,0,0,0
52.0,feminino,32.01,2.0,sim,nordeste,1.0,5751.65,Obeso,0,0,0,0,0
55.0,feminino,24.36,2.0,,sudeste,,5613.98,Peso normal,0,0,0,0,0
76.0,masculino,19.27,1.0,não,sudeste,0.0,6017.37,Peso normal,0,0,0,0,0
20.0,masculino,,2.0,sim,sudoeste,1.0,3991.28,Valor Inválido,0,0,0,0,0
,masculino,,3.0,sim,nordeste,1.0,2990.47,Valor Inválido,0,0,0,0,0
45.0,feminino,22.95,2.0,não,sudoeste,0.0,4935.87,Peso normal,0,0,0,0,0
32.0,masculino,28.29,3.0,,nordeste,,4325.06,Sobrepeso,0,0,0,0,0
28.0,masculino,30.45,3.0,não,noroeste,0.0,3977.85,Obeso,0,0,0,0,0
37.0,feminino,31.52,3.0,sim,nordeste,1.0,5553.65,Obeso,0,0,0,0,0
24.0,feminino,28.55,1.0,sim,noroeste,1.0,3374.0,Sobrepeso,0,0,0,0,0
44.0,,22.59,2.0,não,sudeste,0.0,4724.91,Peso normal,0,0,0,0,0
45.0,feminino,24.23,0.0,não,sudeste,0.0,3660.35,Peso normal,0,0,0,0,0
72.0,feminino,34.69,3.0,não,sudeste,0.0,6751.36,Obeso,0,0,0,0,0
39.0,feminino,32.5,3.0,,sudeste,,4704.02,Obeso,0,0,0,0,0
72.0,masculino,24.84,3.0,,nordeste,,6872.78,Peso normal,0,0,0,0,0
76.0,feminino,21.74,2.0,não,sudeste,0.0,6765.68,Peso normal,0,0,0,0,0
73.0,masculino,32.09,3.0,não,nordeste,0.0,6795.84,Obeso,0,0,0,0,0
67.0,masculino,30.55,2.0,não,sudeste,0.0,5906.46,Obeso,0,0,0,0,0
63.0,masculino,18.12,,sim,noroeste,1.0,5727.63,Abaixo do peso,0,0,0,0,0
,masculino,23.58,3.0,sim,sudeste,1.0,3295.54,Peso normal,0,0,0,0,0
68.0,masculino,26.79,2.0,não,sudeste,0.0,6315.28,Sobrepeso,0,0,0,0,0
68.0,masculino,22.6,3.0,sim,sudoeste,1.0,6647.9,Peso normal,0,0,0,0,0
62.0,feminino,21.99,2.0,sim,sudoeste,1.0,6634.34,Peso normal,0,0,0,0,0
56.0,masculino,34.27,2.0,,noroeste,,5689.95,Obeso,0,0,0,0,0
47.0,feminino,,,sim,noroeste,1.0,5058.69,Valor Inválido,0,0,0,0,0
70.0,masculino,22.25,0.0,sim,nordeste,1.0,5704.64,Peso normal,0,0,0,0,0
43.0,masculino,22.16,1.0,não,nordeste,0.0,3772.12,Peso normal,0,0,0,0,0
67.0,masculino,31.4,1.0,sim,sudeste,1.0,6682.04,Obeso,0,0,0,0,0
77.0,masculino,,2.0,sim,sudeste,1.0,7691.67,Valor Inválido,0,0,0,0,0
33.0,feminino,,2.0,,,,3892.82,Valor Inválido,0,0,0,0,0
70.0,feminino,18.54,3.0,sim,sudoeste,1.0,6946.63,Peso normal,0,0,0,0,0
18.0,masculino,30.12,3.0,,sudeste,,3784.88,Obeso,0,0,0,0,0
32.0,feminino,23.91,1.0,não,sudoeste,0.0,4034.69,Peso normal,0,0,0,0,0
50.0,masculino,34.03,0.0,sim,nordeste,1.0,4755.54,Obeso,0,0,0,0,0
72.0,feminino,29.15,3.0,sim,nordeste,1.0,7178.72,Sobrepeso,0,0,0,0,0
35.0,,32.98,2.0,não,sudeste,0.0,4655.64,Obeso,0,0,0,0,0
66.0,feminino,26.19,0.0,não,sudoeste,0.0,4939.83,Sobrepeso,0,0,0,0,0
59.0,masculino,19.65,,sim,,1.0,5366.81,Peso normal,0,0,0,0,0
24.0,masculino,30.85,0.0,não,,0.0,2467.02,Obeso,0,0,0,0,0
49.0,masculino,26.3,1.0,sim,nordeste,1.0,5594.87,Sobrepeso,0,0,0,0,0
74.0,masculino,28.1,2.0,não,sudoeste,0.0,6396.31,Sobrepeso,0,0,0,0,0
66.0,masculino,22.01,0.0,sim,sudeste,1.0,5599.05,Peso normal,0,0,0,0,0
61.0,feminino,22.14,0.0,não,sudoeste,0.0,4639.31,Peso normal,0,0,0,0,0
49.0,,24.98,3.0,não,,0.0,5050.51,Sobrepeso,0,0,0,0,0
22.0,,20.42,2.0,não,nordeste,0.0,3431.66,Peso normal,0,0,0,0,0
38.0,masculino,23.35,,sim,nordeste,1.0,3969.08,Peso normal,0,0,0,0,0
69.0,masculino,30.03,,não,sudoeste,0.0,5938.19,Obeso,0,0,0,0,0
74.0,masculino,30.23,0.0,sim,nordeste,1.0,6022.16,Obeso,0,0,0,0,0
33.0,masculino,27.29,1.0,não,sudoeste,0.0,3717.92,Sobrepeso,0,0,0,0,0
73.0,masculino,23.96,0.0,,,,5904.09,Peso normal,0,0,0,0,0
51.0,masculino,,2.0,não,nordeste,0.0,5598.31,Valor Inválido,0,0,0,0,0
68.0,masculino,24.81,0.0,sim,nordeste,1.0,5602.1,Peso normal,0,0,0,0,0
,masculino,32.15,3.0,sim,,1.0,2890.04,Obeso,0,0,0,0,0
51.0,masculino,24.71,,sim,sudeste,1.0,5174.08,Peso normal,0,0,0,0,0
